id	sentence	cg_supertags
11	Il y a des ténors italiens qui veulent être excellent .	['np', 'cl_y', 'dr(0,dl(0,cl_y,dl(0,np,s)),np)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dr(0,dl(0,n,n),dl(0,np,s))', 'dr(0,dl(0,np,s),dl(0,np,s_inf))', 'dr(0,dl(0,np,s_inf),dl(0,n,n))', 'dl(0,n,n)', 'dl(0,s,txt)']
12	Les ténors vraiment ambitieux sont italiens .	['dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),dl(0,n,n))', 'dl(0,n,n)', 'dr(0,dl(0,np,s),dl(0,n,n))', 'dl(0,n,n)', 'dl(0,s,txt)']
13	Il y a des ténors vraiment ambitieux qui sont italiens .	['np', 'cl_y', 'dr(0,dl(0,cl_y,dl(0,np,s)),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),dl(0,n,n))', 'dl(0,n,n)', 'dr(0,dl(0,n,n),dl(0,np,s))', 'dr(0,dl(0,np,s),dl(0,n,n))', 'dl(0,n,n)', 'dl(0,s,txt)']
14	Aucun très grand ténor n' est modeste .	['dr(0,np,n)', 'dr(0,dr(0,n,n),dr(0,n,n))', 'dr(0,n,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s))', 'dr(0,dl(0,np,s),dl(0,n,n))', 'dl(0,n,n)', 'dl(0,s,txt)']
15	Il y a de très grands ténors qui sont modestes .	['np', 'cl_y', 'dr(0,dl(0,cl_y,dl(0,np,s)),np)', 'dr(0,np,n)', 'dr(0,dr(0,n,n),dr(0,n,n))', 'dr(0,n,n)', 'n', 'dr(0,dl(0,n,n),dl(0,np,s))', 'dr(0,dl(0,np,s),dl(0,n,n))', 'dl(0,n,n)', 'dl(0,s,txt)']
16	Certains grands ténors sont suédois .	['dr(0,np,n)', 'dr(0,n,n)', 'n', 'dr(0,dl(0,np,s),dl(0,n,n))', 'dl(0,n,n)', 'dl(0,s,txt)']
17	Il y a de grands ténors qui sont suédois .	['np', 'cl_y', 'dr(0,dl(0,cl_y,dl(0,np,s)),np)', 'dr(0,np,n)', 'dr(0,n,n)', 'n', 'dr(0,dl(0,n,n),dl(0,np,s))', 'dr(0,dl(0,np,s),dl(0,n,n))', 'dl(0,n,n)', 'dl(0,s,txt)']
18	Beaucoup de grands ténors sont allemands .	['dr(0,np,pp_de)', 'dr(0,pp_de,n)', 'dr(0,n,n)', 'n', 'dr(0,dl(0,np,s),dl(0,n,n))', 'dl(0,n,n)', 'dl(0,s,txt)']
19	Il y a de grands ténors qui sont allemands .	['np', 'cl_y', 'dr(0,dl(0,cl_y,dl(0,np,s)),np)', 'dr(0,np,n)', 'dr(0,n,n)', 'n', 'dr(0,dl(0,n,n),dl(0,np,s))', 'dr(0,dl(0,np,s),dl(0,n,n))', 'dl(0,n,n)', 'dl(0,s,txt)']
20	Plusieurs grands ténors sont britanniques .	['dr(0,np,n)', 'dr(0,n,n)', 'n', 'dr(0,dl(0,np,s),dl(0,n,n))', 'dl(0,n,n)', 'dl(0,s,txt)']
21	Il y a de grands ténors qui sont britanniques .	['np', 'cl_y', 'dr(0,dl(0,cl_y,dl(0,np,s)),np)', 'dr(0,np,n)', 'dr(0,n,n)', 'n', 'dr(0,dl(0,n,n),dl(0,np,s))', 'dr(0,dl(0,np,s),dl(0,n,n))', 'dl(0,n,n)', 'dl(0,s,txt)']
22	La plupart des grands ténors sont italiens .	['dr(0,np,n)', 'dr(0,n,pp_de)', 'dr(0,pp_de,n)', 'dr(0,n,n)', 'n', 'dr(0,dl(0,np,s),dl(0,n,n))', 'dl(0,n,n)', 'dl(0,s,txt)']
23	Il y a de grands ténors qui sont italiens .	['np', 'cl_y', 'dr(0,dl(0,cl_y,dl(0,np,s)),np)', 'dr(0,np,n)', 'dr(0,n,n)', 'n', 'dr(0,dl(0,n,n),dl(0,np,s))', 'dr(0,dl(0,np,s),dl(0,n,n))', 'dl(0,n,n)', 'dl(0,s,txt)']
24	Quelques grands ténors chantent des chansons populaires .	['dr(0,np,n)', 'dr(0,n,n)', 'n', 'dr(0,dl(0,np,s),np)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dl(0,s,txt)']
25	Certains grands ténors aiment les chansons populaires .	['dr(0,np,n)', 'dr(0,n,n)', 'n', 'dr(0,dl(0,np,s),np)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dl(0,s,txt)']
26	Il y a de grands ténors qui chantent des chansons populaires .	['np', 'cl_y', 'dr(0,dl(0,cl_y,dl(0,np,s)),np)', 'dr(0,np,n)', 'dr(0,n,n)', 'n', 'dr(0,dl(0,n,n),dl(0,np,s))', 'dr(0,dl(0,np,s),np)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dl(0,s,txt)']
27	Peu de grands ténors sont pauvres .	['dr(0,np,pp_de)', 'dr(0,pp_de,n)', 'dr(0,n,n)', 'n', 'dr(0,dl(0,np,s),dl(0,n,n))', 'dl(0,n,n)', 'dl(0,s,txt)']
28	Il y a de grands ténors qui sont pauvres .	['np', 'cl_y', 'dr(0,dl(0,cl_y,dl(0,np,s)),np)', 'dr(0,np,n)', 'dr(0,n,n)', 'n', 'dr(0,dl(0,n,n),dl(0,np,s))', 'dr(0,dl(0,np,s),dl(0,n,n))', 'dl(0,n,n)', 'dl(0,s,txt)']
29	Les deux ténors principaux sont excellents .	['dr(0,np,n)', 'dr(0,n,n)', 'n', 'dl(0,n,n)', 'dr(0,dl(0,np,s),dl(0,n,n))', 'dl(0,n,n)', 'dl(0,s,txt)']
30	Les ténors principaux qui sont excellents sont indispensables .	['dr(0,np,n)', 'n', 'dl(0,n,n)', 'dr(0,dl(0,n,n),dl(0,np,s))', 'dr(0,dl(0,np,s),dl(0,n,n))', 'dl(0,n,n)', 'dr(0,dl(0,np,s),dl(0,n,n))', 'dl(0,n,n)', 'dl(0,s,txt)']
31	Les deux ténors principaux sont indispensables .	['dr(0,np,n)', 'dr(0,n,n)', 'n', 'dl(0,n,n)', 'dr(0,dl(0,np,s),dl(0,n,n))', 'dl(0,n,n)', 'dl(0,s,txt)']
32	Aucun des deux ténors ayant un rôle principal n' est bon marché .	['np', 'dr(0,dl(0,np,np),n)', 'dr(0,n,n)', 'n', 'dr(0,dl(0,n,n),np)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dr(0,dl(0,np,s),dl(0,np,s))', 'dr(0,dl(0,np,s),dl(0,n,n))', 'dr(0,dl(0,n,n),n)', 'n', 'dl(0,s,txt)']
33	L' un des ténors ayant un rôle principal est Pavarotti .	['dr(0,np,n)', 'n', 'dr(0,dl(0,np,np),n)', 'n', 'dr(0,dl(0,n,n),np)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dr(0,dl(0,np,s),np)', 'np', 'dl(0,s,txt)']
34	Pavarotti est un ténor ayant un rôle principal qui est bon marché .	['np', 'dr(0,dl(0,np,s),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),np)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dr(0,dl(0,n,n),dl(0,np,s))', 'dr(0,dl(0,np,s),dl(0,n,n))', 'dr(0,dl(0,n,n),n)', 'n', 'dl(0,s,txt)']
35	Au moins trois ténors prendront part au concert .	['dr(0,dr(0,np,np),n)', 'n', 'dr(0,np,n)', 'n', 'dr(0,dr(0,dl(0,np,s),pp),np)', 'np', 'dr(0,pp_a,n)', 'n', 'dl(0,s,txt)']
36	Il y a des ténors qui prendront part au concert .	['np', 'cl_y', 'dr(0,dl(0,cl_y,dl(0,np,s)),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),dl(0,np,s))', 'dr(0,dr(0,dl(0,np,s),pp),np)', 'np', 'dr(0,pp_a,n)', 'n', 'dl(0,s,txt)']
37	Au plus deux ténors donneront leur cachet à une oeuvre caritative .	['dr(0,dr(0,s,s),n)', 'n', 'dr(0,np,n)', 'n', 'dr(0,dr(0,dl(0,np,s),pp),np)', 'dr(0,np,n)', 'n', 'dr(0,pp_a,np)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dl(0,s,txt)']
38	Il y a des ténors qui donneront leur cachet à une oeuvre caritative .	['np', 'cl_y', 'dr(0,dl(0,cl_y,dl(0,np,s)),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),dl(0,np,s))', 'dr(0,dr(0,dl(0,np,s),pp),np)', 'dr(0,np,n)', 'n', 'dr(0,pp_a,np)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dl(0,s,txt)']
39	Un Irlandais a reçu le prix Nobel de littérature .	['dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),np)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dr(0,dl(0,n,n),n)', 'n', 'dl(0,s,txt)']
40	Un Irlandais a reçu un prix Nobel .	['dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),np)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dl(0,s,txt)']
41	Tout Européen a le droit de vivre en Europe .	['dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),dl(0,np,s_inf))', 'dr(0,dl(0,np,s_inf),pp)', 'dr(0,pp,n)', 'n', 'dl(0,s,txt)']
42	Tout Européen est une personne .	['dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
43	Toute personne qui a le droit de vivre en Europe peut circuler librement en Europe .	['dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),dl(0,np,s))', 'dr(0,dl(0,np,s),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),dl(0,np,s_inf))', 'dr(0,dl(0,np,s_inf),pp)', 'dr(0,pp,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_inf))', 'dl(0,np,s_inf)', 'dl(1,s,s)', 'dr(0,dl(1,s,s),n)', 'n', 'dl(0,s,txt)']
44	Tout Européen peut circuler librement en Europe .	['dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_inf))', 'dl(0,np,s_inf)', 'dl(1,s,s)', 'dr(0,dl(1,s,s),n)', 'n', 'dl(0,s,txt)']
45	Tous les Européens ont le droit de vivre en Europe .	['dr(0,np,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),dl(0,np,s_inf))', 'dr(0,dl(0,np,s_inf),pp)', 'dr(0,pp,n)', 'n', 'dl(0,s,txt)']
46	Tout Européen est une personne .	['dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
47	Toute personne qui a le droit de vivre en Europe peut circuler librement en Europe .	['dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),dl(0,np,s))', 'dr(0,dl(0,np,s),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),dl(0,np,s_inf))', 'dr(0,dl(0,np,s_inf),pp)', 'dr(0,pp,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_inf))', 'dl(0,np,s_inf)', 'dl(1,s,s)', 'dr(0,dl(1,s,s),n)', 'n', 'dl(0,s,txt)']
48	Tous les Européens peuvent circuler librement en Europe .	['dr(0,np,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_inf))', 'dl(0,np,s_inf)', 'dl(1,s,s)', 'dr(0,dl(1,s,s),n)', 'n', 'dl(0,s,txt)']
49	Tout Européen a le droit de vivre en Europe .	['dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),dl(0,np,s_inf))', 'dr(0,dl(0,np,s_inf),pp)', 'dr(0,pp,n)', 'n', 'dl(0,s,txt)']
50	Tout Européen est une personne .	['dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
51	Toute personne qui a le droit de vivre en Europe peut circuler librement en Europe .	['dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),dl(0,np,s))', 'dr(0,dl(0,np,s),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),dl(0,np,s_inf))', 'dr(0,dl(0,np,s_inf),pp)', 'dr(0,pp,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_inf))', 'dl(0,np,s_inf)', 'dl(1,s,s)', 'dr(0,dl(1,s,s),n)', 'n', 'dl(0,s,txt)']
52	Tout Européen peut circuler librement en Europe .	['dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_inf))', 'dl(0,np,s_inf)', 'dl(1,s,s)', 'dr(0,dl(1,s,s),n)', 'n', 'dl(0,s,txt)']
53	Les résidents des états membres ont le droit de vivre en Europe .	['dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),n)', 'n', 'dl(0,n,n)', 'dr(0,dl(0,np,s),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),dl(0,np,s_inf))', 'dr(0,dl(0,np,s_inf),pp)', 'dr(0,pp,n)', 'n', 'dl(0,s,txt)']
54	Tous les résidents des états membres sont des individus .	['dr(0,np,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),n)', 'n', 'dl(0,n,n)', 'dr(0,dl(0,np,s),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
55	Tout individu qui a le droit de vivre en Europe peut circuler librement en Europe .	['dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),dl(0,np,s))', 'dr(0,dl(0,np,s),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),dl(0,np,s_inf))', 'dr(0,dl(0,np,s_inf),pp)', 'dr(0,pp,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_inf))', 'dl(0,np,s_inf)', 'dl(1,s,s)', 'dr(0,dl(1,s,s),n)', 'n', 'dl(0,s,txt)']
56	Les résidents des états membres peuvent circuler librement en Europe .	['dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),n)', 'n', 'dl(0,n,n)', 'dr(0,dl(0,np,s),dl(0,np,s_inf))', 'dl(0,np,s_inf)', 'dl(1,s,s)', 'dr(0,dl(1,s,s),n)', 'n', 'dl(0,s,txt)']
57	Aucun délégué n' a terminé le rapport à temps .	['dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s))', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(1,s,s),n)', 'n', 'dl(0,s,txt)']
58	Aucun délégué n' a terminé le rapport .	['dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s))', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
59	Certains délégués ont terminé l' enquête à temps .	['dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(1,s,s),n)', 'n', 'dl(0,s,txt)']
60	Certains délégués ont terminé l' enquête .	['dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
61	Beaucoup de délégués ont obtenu des résultats intéressants à partir de l' enquête .	['dr(0,np,pp_de)', 'dr(0,pp_de,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),np)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dr(0,dl(1,s,s),dl(0,np,s_inf))', 'dr(0,dl(0,np,s_inf),pp)', 'dr(0,pp_de,np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
62	Beaucoup de délégués ont obtenu des résultats à partir de l' enquête .	['dr(0,np,pp_de)', 'dr(0,pp_de,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(1,s,s),dl(0,np,s_inf))', 'dr(0,dl(0,np,s_inf),pp)', 'dr(0,pp_de,np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
63	Plusieurs délégués ont publié les résultats dans de grands quotidiens nationaux .	['dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(1,s,s),np)', 'dr(0,np,n)', 'dr(0,n,n)', 'n', 'dl(0,n,n)', 'dl(0,s,txt)']
64	Plusieurs délégués ont publié les résultats .	['dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
65	La plupart des Européens résident en Europe .	['dr(0,np,n)', 'dr(0,n,pp_de)', 'dr(0,pp_de,n)', 'n', 'dr(0,dl(0,np,s),pp)', 'dr(0,pp,n)', 'n', 'dl(0,s,txt)']
66	Tous les Européens sont des personnes .	['dr(0,np,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
67	Toutes les personnes qui résident en Europe peuvent circuler librement en Europe .	['dr(0,np,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),dl(0,np,s))', 'dr(0,dl(0,np,s),pp)', 'dr(0,pp,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_inf))', 'dl(0,np,s_inf)', 'dl(1,s,s)', 'dr(0,dl(1,s,s),n)', 'n', 'dl(0,s,txt)']
68	La plupart des Européens peuvent circuler librement en Europe .	['dr(0,np,n)', 'dr(0,n,pp_de)', 'dr(0,pp_de,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_inf))', 'dl(0,np,s_inf)', 'dl(1,s,s)', 'dr(0,dl(1,s,s),n)', 'n', 'dl(0,s,txt)']
69	Quelques membres du comité viennent de Suède .	['dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),n)', 'n', 'dr(0,dl(0,np,s),pp)', 'dr(0,pp_de,n)', 'n', 'dl(0,s,txt)']
70	Tous les membres du comité sont des personnes .	['dr(0,np,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),n)', 'n', 'dr(0,dl(0,np,s),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
71	Toutes les personnes qui viennent de Suède viennent de Scandinavie .	['dr(0,np,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),dl(0,np,s))', 'dr(0,dl(0,np,s),pp)', 'dr(0,pp_de,n)', 'n', 'dr(0,dl(0,np,s),pp)', 'dr(0,pp_de,n)', 'n', 'dl(0,s,txt)']
72	Au moins quelques membres du comité viennent de Scandinavie .	['dr(0,dr(0,np,np),n)', 'n', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),n)', 'n', 'dr(0,dl(0,np,s),pp)', 'dr(0,pp_de,n)', 'n', 'dl(0,s,txt)']
73	Peu de membre du comité viennent du Portugal .	['dr(0,np,pp_de)', 'dr(0,pp_de,n)', 'n', 'dr(0,dl(0,n,n),n)', 'n', 'dr(0,dl(0,np,s),pp)', 'dr(0,pp_de,n)', 'n', 'dl(0,s,txt)']
74	Tous les membres du comité sont des personnes .	['dr(0,np,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),n)', 'n', 'dr(0,dl(0,np,s),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
75	Toutes les personnes qui viennent du Portugal viennent du Sud de l' Europe .	['dr(0,np,np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),dl(0,np,s))', 'dr(0,dl(0,np,s),pp)', 'dr(0,pp_de,n)', 'n', 'dr(0,dl(0,np,s),pp)', 'dr(0,pp_de,n)', 'n', 'dr(0,dl(0,n,n),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
76	Il y a peu de membres du comité qui viennent du Sud de l' Europe .	['np', 'cl_y', 'dr(0,dl(0,cl_y,dl(0,np,s)),np)', 'dr(0,np,pp_de)', 'dr(0,pp_de,n)', 'n', 'dr(0,dl(0,n,n),n)', 'n', 'dr(0,dl(0,n,n),dl(0,np,s))', 'dr(0,dl(0,np,s),pp)', 'dr(0,pp_de,n)', 'n', 'dr(0,dl(0,n,n),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
77	Les deux commissaires ont été des hommes d' affaire de premier plan .	['dr(0,np,n)', 'dr(0,n,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),n)', 'n', 'dr(0,dl(0,n,n),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
78	Les deux commissaires ont été des hommes d' affaire .	['dr(0,np,n)', 'dr(0,n,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),np)', 'dr(0,np,n)', 'n', 'dr(0,dl(0,n,n),n)', 'n', 'dl(0,s,txt)']
79	Aucun des deux commissaires ne passe beaucoup de temps à la maison .	['np', 'dr(0,dl(0,np,np),n)', 'dr(0,n,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s))', 'dr(0,dr(0,dl(0,np,s),pp),np)', 'dr(0,np,pp_de)', 'dr(0,pp_de,n)', 'n', 'dr(0,pp_a,np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
80	Aucun des deux commissaires ne passe du temps à la maison .	['np', 'dr(0,dl(0,np,np),n)', 'dr(0,n,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s))', 'dr(0,dr(0,dl(0,np,s),pp),np)', 'dr(0,np,n)', 'n', 'dr(0,pp_a,np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
81	Au moins trois commissaires passent beaucoup de temps à la maison .	['dr(0,dr(0,s,s),n)', 'n', 'dr(0,np,n)', 'n', 'dr(0,dr(0,dl(0,np,s),pp),np)', 'dr(0,np,pp_de)', 'dr(0,pp_de,n)', 'n', 'dr(0,pp_a,np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
82	Au moins trois commissaires passent du temps à la maison .	['dr(0,dr(0,s,s),n)', 'n', 'dr(0,np,n)', 'n', 'dr(0,dr(0,dl(0,np,s),pp),np)', 'dr(0,np,n)', 'n', 'dr(0,pp_a,np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
83	Au plus dix commissaires passent beaucoup de temps à la maison .	['dr(0,dr(0,s,s),n)', 'n', 'dr(0,np,n)', 'n', 'dr(0,dr(0,dl(0,np,s),pp),np)', 'dr(0,np,pp_de)', 'dr(0,pp_de,n)', 'n', 'dr(0,pp_a,np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
84	Au plus dix commissaires passent du temps à la maison .	['dr(0,dr(0,s,s),n)', 'n', 'dr(0,np,n)', 'n', 'dr(0,dr(0,dl(0,np,s),pp),np)', 'dr(0,np,n)', 'n', 'dr(0,pp_a,np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
85	Un Irlandais a reçu un prix Nobel .	['dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),np)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dl(0,s,txt)']
86	Un irlandais a reçu le prix Nobel de littérature .	['dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_ppart))', 'dr(0,dl(0,np,s_ppart),np)', 'dr(0,np,n)', 'n', 'dl(0,n,n)', 'dr(0,dl(0,n,n),n)', 'n', 'dl(0,s,txt)']
87	Tout Européen peut circuler librement en Europe .	['dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),dl(0,np,s_inf))', 'dl(0,np,s_inf)', 'dl(1,s,s)', 'dr(0,dl(1,s,s),n)', 'n', 'dl(0,s,txt)']
88	Tout Européen est une personne .	['dr(0,np,n)', 'n', 'dr(0,dl(0,np,s),np)', 'dr(0,np,n)', 'n', 'dl(0,s,txt)']
