id	sentence	pros	formula
35	Un chien brun attaque un autre animal devant l'homme en pantalon	p(1,p(0,p(0,'Un',p(0,chien,brun)),p(0,attaque,p(0,un,p(0,autre,animal)))),p(0,devant,p(0,'l\'',p(0,homme,p(0,en,pantalon)))))	appl(appl(word(7),appl(word(8),appl(appl(word(10),word(11)),word(9)))),appl(appl(word(3),appl(word(4),appl(word(5),word(6)))),appl(word(0),appl(word(2),word(1)))))
36	Deux chiens se battent et s'embrassent	p(0,p(0,'Deux',chiens),p(0,p(0,se,battent),p(0,et,p(0,'s\'',embrassent))))	appl(appl(appl(word(4),appl(word(6),word(5))),appl(word(3),word(2))),appl(word(0),word(1)))
37	Une personne dans une veste noire fait des tours sur une moto	p(0,p(0,'Une',p(0,p(0,personne,p(0,dans,p(0,une,veste))),noire)),p(1,p(0,fait,p(0,des,tours)),p(0,sur,p(0,une,moto))))	appl(lambda(A,appl(appl(word(9),appl(word(10),word(11))),appl(appl(word(6),appl(word(7),word(8))),A))),appl(word(0),appl(word(5),appl(appl(word(2),appl(word(3),word(4))),word(1)))))
38	Un homme dans une veste noire fait des tours sur une moto	p(0,p(0,'Un',p(0,p(0,homme,p(0,dans,p(0,une,veste))),noire)),p(1,p(0,fait,p(0,des,tours)),p(0,sur,p(0,une,moto))))	appl(lambda(A,appl(appl(word(9),appl(word(10),word(11))),appl(appl(word(6),appl(word(7),word(8))),A))),appl(word(0),appl(word(5),appl(appl(word(2),appl(word(3),word(4))),word(1)))))
39	Il n'y a pas d'homme dans une veste noire faisant des tours sur une moto	p(0,'Il',p(0,'n\'',p(0,y,p(0,a,p(0,pas,p(0,'d\'',p(0,p(0,p(0,p(0,homme,p(0,dans,p(0,une,veste))),noire),p(0,faisant,p(0,des,tours))),p(0,sur,p(0,une,moto)))))))))	appl(appl(word(1),appl(appl(word(3),appl(word(4),appl(word(5),appl(appl(word(14),appl(word(15),word(16))),appl(appl(word(11),appl(word(12),word(13))),appl(word(10),appl(appl(word(7),appl(word(8),word(9))),word(6)))))))),word(2))),word(0))
40	Une personne dans une veste noire fait des tours sur une moto	p(0,p(0,'Une',p(0,p(0,personne,p(0,dans,p(0,une,veste))),noire)),p(1,p(0,fait,p(0,des,tours)),p(0,sur,p(0,une,moto))))	appl(lambda(A,appl(appl(word(9),appl(word(10),word(11))),appl(appl(word(6),appl(word(7),word(8))),A))),appl(word(0),appl(word(5),appl(appl(word(2),appl(word(3),word(4))),word(1)))))
41	Une personne dans une veste noire fait des tours sur une moto	p(0,p(0,'Une',p(0,p(0,personne,p(0,dans,p(0,une,veste))),noire)),p(1,p(0,fait,p(0,des,tours)),p(0,sur,p(0,une,moto))))	appl(lambda(A,appl(appl(word(9),appl(word(10),word(11))),appl(appl(word(6),appl(word(7),word(8))),A))),appl(word(0),appl(word(5),appl(appl(word(2),appl(word(3),word(4))),word(1)))))
42	Une personne sur une moto noire fait des tours avec une veste	p(0,p(0,'Une',p(0,p(0,personne,p(0,sur,p(0,une,moto))),noire)),p(1,p(0,fait,p(0,des,tours)),p(0,avec,p(0,une,veste))))	appl(lambda(A,appl(appl(word(9),appl(word(10),word(11))),appl(appl(word(6),appl(word(7),word(8))),A))),appl(word(0),appl(word(5),appl(appl(word(2),appl(word(3),word(4))),word(1)))))
47	Une personne dans une veste noire fait des tours sur une moto	p(0,p(0,'Une',p(0,p(0,personne,p(0,dans,p(0,une,veste))),noire)),p(1,p(0,fait,p(0,des,tours)),p(0,sur,p(0,une,moto))))	appl(lambda(A,appl(appl(word(9),appl(word(10),word(11))),appl(appl(word(6),appl(word(7),word(8))),A))),appl(word(0),appl(word(5),appl(appl(word(2),appl(word(3),word(4))),word(1)))))
50	Une personne dans une veste noire fait des tours sur une moto	p(0,p(0,'Une',p(0,p(0,personne,p(0,dans,p(0,une,veste))),noire)),p(1,p(0,fait,p(0,des,tours)),p(0,sur,p(0,une,moto))))	appl(lambda(A,appl(appl(word(9),appl(word(10),word(11))),appl(appl(word(6),appl(word(7),word(8))),A))),appl(word(0),appl(word(5),appl(appl(word(2),appl(word(3),word(4))),word(1)))))
52	Un homme dans une veste noire fait des tours sur une moto	p(0,p(0,'Un',p(0,p(0,homme,p(0,dans,p(0,une,veste))),noire)),p(1,p(0,fait,p(0,des,tours)),p(0,sur,p(0,une,moto))))	appl(lambda(A,appl(appl(word(9),appl(word(10),word(11))),appl(appl(word(6),appl(word(7),word(8))),A))),appl(word(0),appl(word(5),appl(appl(word(2),appl(word(3),word(4))),word(1)))))
54	Il n'y a pas d'homme dans une veste noire faisant des tours sur une moto	p(0,'Il',p(0,'n\'',p(0,y,p(0,a,p(0,pas,p(0,'d\'',p(0,p(0,p(0,p(0,homme,p(0,dans,p(0,une,veste))),noire),p(0,faisant,p(0,des,tours))),p(0,sur,p(0,une,moto)))))))))	appl(appl(word(1),appl(appl(word(3),appl(word(4),appl(word(5),appl(appl(word(14),appl(word(15),word(16))),appl(appl(word(11),appl(word(12),word(13))),appl(word(10),appl(appl(word(7),appl(word(8),word(9))),word(6)))))))),word(2))),word(0))
55	Une personne sur une moto noire fait des tours avec une veste	p(0,p(0,'Une',p(0,p(0,personne,p(0,sur,p(0,une,moto))),noire)),p(1,p(0,fait,p(0,des,tours)),p(0,avec,p(0,une,veste))))	appl(lambda(A,appl(appl(word(9),appl(word(10),word(11))),appl(appl(word(6),appl(word(7),word(8))),A))),appl(word(0),appl(word(5),appl(appl(word(2),appl(word(3),word(4))),word(1)))))
58	Une personne dans une veste noire fait des tours sur une moto	p(0,p(0,'Une',p(0,p(0,personne,p(0,dans,p(0,une,veste))),noire)),p(1,p(0,fait,p(0,des,tours)),p(0,sur,p(0,une,moto))))	appl(lambda(A,appl(appl(word(9),appl(word(10),word(11))),appl(appl(word(6),appl(word(7),word(8))),A))),appl(word(0),appl(word(5),appl(appl(word(2),appl(word(3),word(4))),word(1)))))
59	Un homme avec un maillot trempe le ballon lors d'un match de basket-ball	p(1,p(0,p(0,'Un',p(0,homme,p(0,avec,p(0,un,maillot)))),p(0,trempe,p(0,le,ballon))),p(0,lors,p(0,'d\'',p(0,un,p(0,match,p(0,de,'basket-ball'))))))	appl(appl(word(8),appl(word(9),appl(word(10),appl(appl(word(12),word(13)),word(11))))),appl(appl(word(5),appl(word(6),word(7))),appl(word(0),appl(appl(word(2),appl(word(3),word(4))),word(1)))))
61	Un homme avec un maillot trempe le ballon lors d'un match de basket-ball	p(1,p(0,p(0,'Un',p(0,homme,p(0,avec,p(0,un,maillot)))),p(0,trempe,p(0,le,ballon))),p(0,lors,p(0,'d\'',p(0,un,p(0,match,p(0,de,'basket-ball'))))))	appl(appl(word(8),appl(word(9),appl(word(10),appl(appl(word(12),word(13)),word(11))))),appl(appl(word(5),appl(word(6),word(7))),appl(word(0),appl(appl(word(2),appl(word(3),word(4))),word(1)))))
62	Il n'y a pas d'homme qui trempe la balle dans un match de basket-ball	p(1,p(0,'Il',p(0,'n\'',p(0,y,p(0,a,p(0,pas,p(0,'d\'',p(0,homme,p(0,qui,p(0,trempe,p(0,la,balle)))))))))),p(0,dans,p(0,un,p(0,match,p(0,de,'basket-ball')))))	appl(appl(word(11),appl(word(12),appl(appl(word(14),word(15)),word(13)))),appl(appl(word(1),appl(appl(word(3),appl(word(4),appl(word(5),appl(appl(word(7),appl(word(8),appl(word(9),word(10)))),word(6))))),word(2))),word(0)))
64	Un homme avec un maillot trempe le ballon lors d'un match de basket-ball	p(1,p(0,p(0,'Un',p(0,homme,p(0,avec,p(0,un,maillot)))),p(0,trempe,p(0,le,ballon))),p(0,lors,p(0,'d\'',p(0,un,p(0,match,p(0,de,'basket-ball'))))))	appl(appl(word(8),appl(word(9),appl(word(10),appl(appl(word(12),word(13)),word(11))))),appl(appl(word(5),appl(word(6),word(7))),appl(word(0),appl(appl(word(2),appl(word(3),word(4))),word(1)))))
66	Le joueur plonge le basket dans le filet et une foule est en arrière-plan	p(0,p(0,p(0,'Le',joueur),p(0,p(0,plonge,p(0,le,basket)),p(0,dans,p(0,le,filet)))),p(0,et,p(0,p(0,une,foule),p(0,est,p(0,en,'arrière-plan')))))	appl(appl(word(8),appl(appl(word(11),appl(word(12),word(13))),appl(word(9),word(10)))),appl(appl(appl(word(2),appl(word(3),word(4))),appl(word(5),appl(word(6),word(7)))),appl(word(0),word(1))))
67	Le joueur manque le panier et une foule est en arrière-plan	p(0,p(0,p(0,'Le',joueur),p(0,manque,p(0,le,panier))),p(0,et,p(0,p(0,une,foule),p(0,est,p(0,en,'arrière-plan')))))	appl(appl(word(5),appl(appl(word(8),appl(word(9),word(10))),appl(word(6),word(7)))),appl(appl(word(2),appl(word(3),word(4))),appl(word(0),word(1))))
68	Le joueur plonge le basket dans le filet et une foule est en arrière-plan	p(0,p(0,p(0,'Le',joueur),p(0,p(0,plonge,p(0,le,basket)),p(0,dans,p(0,le,filet)))),p(0,et,p(0,p(0,une,foule),p(0,est,p(0,en,'arrière-plan')))))	appl(appl(word(8),appl(appl(word(11),appl(word(12),word(13))),appl(word(9),word(10)))),appl(appl(appl(word(2),appl(word(3),word(4))),appl(word(5),appl(word(6),word(7)))),appl(word(0),word(1))))
69	Un homme avec un maillot trempe le ballon lors d'un match de basket-ball	p(1,p(0,p(0,'Un',p(0,homme,p(0,avec,p(0,un,maillot)))),p(0,trempe,p(0,le,ballon))),p(0,lors,p(0,'d\'',p(0,un,p(0,match,p(0,de,'basket-ball'))))))	appl(appl(word(8),appl(word(9),appl(word(10),appl(appl(word(12),word(13)),word(11))))),appl(appl(word(5),appl(word(6),word(7))),appl(word(0),appl(appl(word(2),appl(word(3),word(4))),word(1)))))
71	Un homme avec un maillot trempe le ballon lors d'un match de basket-ball	p(1,p(0,p(0,'Un',p(0,homme,p(0,avec,p(0,un,maillot)))),p(0,trempe,p(0,le,ballon))),p(0,lors,p(0,'d\'',p(0,un,p(0,match,p(0,de,'basket-ball'))))))	appl(appl(word(8),appl(word(9),appl(word(10),appl(appl(word(12),word(13)),word(11))))),appl(appl(word(5),appl(word(6),word(7))),appl(word(0),appl(appl(word(2),appl(word(3),word(4))),word(1)))))
72	Le joueur manque le panier et une foule est en arrière-plan	p(0,p(0,p(0,'Le',joueur),p(0,manque,p(0,le,panier))),p(0,et,p(0,p(0,une,foule),p(0,est,p(0,en,'arrière-plan')))))	appl(appl(word(5),appl(appl(word(8),appl(word(9),word(10))),appl(word(6),word(7)))),appl(appl(word(2),appl(word(3),word(4))),appl(word(0),word(1))))
73	Le joueur plonge le basket dans le filet et une foule est en arrière-plan	p(0,p(0,p(0,'Le',joueur),p(0,p(0,plonge,p(0,le,basket)),p(0,dans,p(0,le,filet)))),p(0,et,p(0,p(0,une,foule),p(0,est,p(0,en,'arrière-plan')))))	appl(appl(word(8),appl(appl(word(11),appl(word(12),word(13))),appl(word(9),word(10)))),appl(appl(appl(word(2),appl(word(3),word(4))),appl(word(5),appl(word(6),word(7)))),appl(word(0),word(1))))
75	Il n'y a pas d'homme qui trempe la balle dans un match de basket-ball	p(1,p(0,'Il',p(0,'n\'',p(0,y,p(0,a,p(0,pas,p(0,'d\'',p(0,homme,p(0,qui,p(0,trempe,p(0,la,balle)))))))))),p(0,dans,p(0,un,p(0,match,p(0,de,'basket-ball')))))	appl(appl(word(11),appl(word(12),appl(appl(word(14),word(15)),word(13)))),appl(appl(word(1),appl(appl(word(3),appl(word(4),appl(word(5),appl(appl(word(7),appl(word(8),appl(word(9),word(10)))),word(6))))),word(2))),word(0)))
76	Le joueur plonge le basket dans le filet et une foule est en arrière-plan	p(0,p(0,p(0,'Le',joueur),p(0,p(0,plonge,p(0,le,basket)),p(0,dans,p(0,le,filet)))),p(0,et,p(0,p(0,une,foule),p(0,est,p(0,en,'arrière-plan')))))	appl(appl(word(8),appl(appl(word(11),appl(word(12),word(13))),appl(word(9),word(10)))),appl(appl(appl(word(2),appl(word(3),word(4))),appl(word(5),appl(word(6),word(7)))),appl(word(0),word(1))))
78	Le joueur plonge le basket dans le filet et une foule est en arrière-plan	p(0,p(0,p(0,'Le',joueur),p(0,p(0,plonge,p(0,le,basket)),p(0,dans,p(0,le,filet)))),p(0,et,p(0,p(0,une,foule),p(0,est,p(0,en,'arrière-plan')))))	appl(appl(word(8),appl(appl(word(11),appl(word(12),word(13))),appl(word(9),word(10)))),appl(appl(appl(word(2),appl(word(3),word(4))),appl(word(5),appl(word(6),word(7)))),appl(word(0),word(1))))
79	Le joueur plonge le basket dans le filet et une foule est en arrière-plan	p(0,p(0,p(0,'Le',joueur),p(0,p(0,plonge,p(0,le,basket)),p(0,dans,p(0,le,filet)))),p(0,et,p(0,p(0,une,foule),p(0,est,p(0,en,'arrière-plan')))))	appl(appl(word(8),appl(appl(word(11),appl(word(12),word(13))),appl(word(9),word(10)))),appl(appl(appl(word(2),appl(word(3),word(4))),appl(word(5),appl(word(6),word(7)))),appl(word(0),word(1))))
80	Un homme avec un maillot trempe le ballon lors d'un match de basket-ball	p(1,p(0,p(0,'Un',p(0,homme,p(0,avec,p(0,un,maillot)))),p(0,trempe,p(0,le,ballon))),p(0,lors,p(0,'d\'',p(0,un,p(0,match,p(0,de,'basket-ball'))))))	appl(appl(word(8),appl(word(9),appl(word(10),appl(appl(word(12),word(13)),word(11))))),appl(appl(word(5),appl(word(6),word(7))),appl(word(0),appl(appl(word(2),appl(word(3),word(4))),word(1)))))
81	Deux personnes font du kickboxing et les spectateurs regardent	p(0,p(0,p(0,'Deux',personnes),p(0,font,p(0,du,kickboxing))),p(0,et,p(0,p(0,les,spectateurs),regardent)))	appl(appl(word(5),appl(word(8),appl(word(6),word(7)))),appl(appl(word(2),appl(word(3),word(4))),appl(word(0),word(1))))
82	Deux personnes se battent et les spectateurs regardent	p(0,p(0,p(0,'Deux',personnes),p(0,se,battent)),p(0,et,p(0,p(0,les,spectateurs),regardent)))	appl(appl(word(4),appl(word(7),appl(word(5),word(6)))),appl(appl(word(3),word(2)),appl(word(0),word(1))))
83	Deux personnes font du kickboxing et les spectateurs ne regardent pas	p(1,p(0,p(0,p(0,'Deux',personnes),p(0,font,p(0,du,kickboxing))),p(0,et,p(0,p(0,les,spectateurs),p(0,ne,regardent)))),pas)	appl(word(10),appl(appl(word(5),appl(appl(word(8),word(9)),appl(word(6),word(7)))),appl(appl(word(2),appl(word(3),word(4))),appl(word(0),word(1)))))
84	Deux personnes font du kickboxing et les spectateurs regardent	p(0,p(0,p(0,'Deux',personnes),p(0,font,p(0,du,kickboxing))),p(0,et,p(0,p(0,les,spectateurs),regardent)))	appl(appl(word(5),appl(word(8),appl(word(6),word(7)))),appl(appl(word(2),appl(word(3),word(4))),appl(word(0),word(1))))
85	Deux spectateurs font du kickboxing et certains regardent	p(0,p(0,p(0,'Deux',spectateurs),p(0,font,p(0,du,kickboxing))),p(0,et,p(0,certains,regardent)))	appl(appl(word(5),appl(word(7),word(6))),appl(appl(word(2),appl(word(3),word(4))),appl(word(0),word(1))))
86	Deux personnes font du kickboxing et les spectateurs regardent	p(0,p(0,p(0,'Deux',personnes),p(0,font,p(0,du,kickboxing))),p(0,et,p(0,p(0,les,spectateurs),regardent)))	appl(appl(word(5),appl(word(8),appl(word(6),word(7)))),appl(appl(word(2),appl(word(3),word(4))),appl(word(0),word(1))))
87	Deux jeunes femmes s'affrontent dans un combat de kickboxing	p(1,p(0,p(0,'Deux',p(0,jeunes,femmes)),p(0,'s\'',affrontent)),p(0,dans,p(0,un,p(0,combat,p(0,de,kickboxing)))))	appl(appl(word(5),appl(word(6),appl(appl(word(8),word(9)),word(7)))),appl(appl(word(4),word(3)),appl(word(0),appl(word(1),word(2)))))
88	Deux femmes s'affrontent dans un match de kickboxing	p(1,p(0,p(0,'Deux',femmes),p(0,'s\'',affrontent)),p(0,dans,p(0,un,p(0,match,p(0,de,kickboxing)))))	appl(appl(word(4),appl(word(5),appl(appl(word(7),word(8)),word(6)))),appl(appl(word(3),word(2)),appl(word(0),word(1))))
89	Deux jeunes femmes ne s'affrontent pas dans un combat de kickboxing	p(1,p(1,p(0,p(0,'Deux',p(0,jeunes,femmes)),p(0,ne,p(0,'s\'',affrontent))),pas),p(0,dans,p(0,un,p(0,combat,p(0,de,kickboxing)))))	appl(appl(word(7),appl(word(8),appl(appl(word(10),word(11)),word(9)))),appl(word(6),appl(appl(word(3),appl(word(5),word(4))),appl(word(0),appl(word(1),word(2))))))
90	Deux femmes s'affrontent dans un match de kickboxing	p(1,p(0,p(0,'Deux',femmes),p(0,'s\'',affrontent)),p(0,dans,p(0,un,p(0,match,p(0,de,kickboxing)))))	appl(appl(word(4),appl(word(5),appl(appl(word(7),word(8)),word(6)))),appl(appl(word(3),word(2)),appl(word(0),word(1))))
91	Deux personnes font du kickboxing et les spectateurs regardent	p(0,p(0,p(0,'Deux',personnes),p(0,font,p(0,du,kickboxing))),p(0,et,p(0,p(0,les,spectateurs),regardent)))	appl(appl(word(5),appl(word(8),appl(word(6),word(7)))),appl(appl(word(2),appl(word(3),word(4))),appl(word(0),word(1))))
92	Deux jeunes femmes s'affrontent dans un combat de kickboxing	p(1,p(0,p(0,'Deux',p(0,jeunes,femmes)),p(0,'s\'',affrontent)),p(0,dans,p(0,un,p(0,combat,p(0,de,kickboxing)))))	appl(appl(word(5),appl(word(6),appl(appl(word(8),word(9)),word(7)))),appl(appl(word(4),word(3)),appl(word(0),appl(word(1),word(2)))))
93	Deux personnes font du kickboxing et les spectateurs regardent	p(0,p(0,p(0,'Deux',personnes),p(0,font,p(0,du,kickboxing))),p(0,et,p(0,p(0,les,spectateurs),regardent)))	appl(appl(word(5),appl(word(8),appl(word(6),word(7)))),appl(appl(word(2),appl(word(3),word(4))),appl(word(0),word(1))))
94	Deux jeunes femmes ne s'affrontent pas dans un combat de kickboxing	p(1,p(1,p(0,p(0,'Deux',p(0,jeunes,femmes)),p(0,ne,p(0,'s\'',affrontent))),pas),p(0,dans,p(0,un,p(0,combat,p(0,de,kickboxing)))))	appl(appl(word(7),appl(word(8),appl(appl(word(10),word(11)),word(9)))),appl(word(6),appl(appl(word(3),appl(word(5),word(4))),appl(word(0),appl(word(1),word(2))))))
95	Deux femmes s'affrontent dans un match de kickboxing	p(1,p(0,p(0,'Deux',femmes),p(0,'s\'',affrontent)),p(0,dans,p(0,un,p(0,match,p(0,de,kickboxing)))))	appl(appl(word(4),appl(word(5),appl(appl(word(7),word(8)),word(6)))),appl(appl(word(3),word(2)),appl(word(0),word(1))))
96	Deux personnes se battent et les spectateurs regardent	p(0,p(0,p(0,'Deux',personnes),p(0,se,battent)),p(0,et,p(0,p(0,les,spectateurs),regardent)))	appl(appl(word(4),appl(word(7),appl(word(5),word(6)))),appl(appl(word(3),word(2)),appl(word(0),word(1))))
97	Deux femmes s'affrontent dans un match de kickboxing	p(1,p(0,p(0,'Deux',femmes),p(0,'s\'',affrontent)),p(0,dans,p(0,un,p(0,match,p(0,de,kickboxing)))))	appl(appl(word(4),appl(word(5),appl(appl(word(7),word(8)),word(6)))),appl(appl(word(3),word(2)),appl(word(0),word(1))))
98	Deux personnes font du kickboxing et les spectateurs ne regardent pas	p(1,p(0,p(0,p(0,'Deux',personnes),p(0,font,p(0,du,kickboxing))),p(0,et,p(0,p(0,les,spectateurs),p(0,ne,regardent)))),pas)	appl(word(10),appl(appl(word(5),appl(appl(word(8),word(9)),appl(word(6),word(7)))),appl(appl(word(2),appl(word(3),word(4))),appl(word(0),word(1)))))
99	Deux spectateurs font du kickboxing et certains regardent	p(0,p(0,p(0,'Deux',spectateurs),p(0,font,p(0,du,kickboxing))),p(0,et,p(0,certains,regardent)))	appl(appl(word(5),appl(word(7),word(6))),appl(appl(word(2),appl(word(3),word(4))),appl(word(0),word(1))))
100	Deux femmes s'affrontent dans un match de kickboxing	p(1,p(0,p(0,'Deux',femmes),p(0,'s\'',affrontent)),p(0,dans,p(0,un,p(0,match,p(0,de,kickboxing)))))	appl(appl(word(4),appl(word(5),appl(appl(word(7),word(8)),word(6)))),appl(appl(word(3),word(2)),appl(word(0),word(1))))
101	Deux personnes font du kickboxing et les spectateurs regardent	p(0,p(0,p(0,'Deux',personnes),p(0,font,p(0,du,kickboxing))),p(0,et,p(0,p(0,les,spectateurs),regardent)))	appl(appl(word(5),appl(word(8),appl(word(6),word(7)))),appl(appl(word(2),appl(word(3),word(4))),appl(word(0),word(1))))
102	Deux femmes s'affrontent dans un match de kickboxing	p(1,p(0,p(0,'Deux',femmes),p(0,'s\'',affrontent)),p(0,dans,p(0,un,p(0,match,p(0,de,kickboxing)))))	appl(appl(word(4),appl(word(5),appl(appl(word(7),word(8)),word(6)))),appl(appl(word(3),word(2)),appl(word(0),word(1))))
103	Les enfants en chemises rouges jouent dans les feuilles	p(0,p(0,'Les',p(0,p(0,enfants,p(0,en,chemises)),rouges)),p(1,jouent,p(0,dans,p(0,les,feuilles))))	appl(lambda(A,appl(appl(word(6),appl(word(7),word(8))),appl(word(5),A))),appl(word(0),appl(word(4),appl(appl(word(2),word(3)),word(1)))))
104	Les enfants en chemises rouges jouent dans les feuilles	p(0,p(0,'Les',p(0,p(0,enfants,p(0,en,chemises)),rouges)),p(1,jouent,p(0,dans,p(0,les,feuilles))))	appl(lambda(A,appl(appl(word(6),appl(word(7),word(8))),appl(word(5),A))),appl(word(0),appl(word(4),appl(appl(word(2),word(3)),word(1)))))
105	Les enfants en chemises rouges jouent dans les feuilles	p(0,p(0,'Les',p(0,p(0,enfants,p(0,en,chemises)),rouges)),p(1,jouent,p(0,dans,p(0,les,feuilles))))	appl(lambda(A,appl(appl(word(6),appl(word(7),word(8))),appl(word(5),A))),appl(word(0),appl(word(4),appl(appl(word(2),word(3)),word(1)))))
106	Les enfants en chemises rouges dorment dans les feuilles	p(0,p(0,'Les',p(0,p(0,enfants,p(0,en,chemises)),rouges)),p(1,dorment,p(0,dans,p(0,les,feuilles))))	appl(lambda(A,appl(appl(word(6),appl(word(7),word(8))),appl(word(5),A))),appl(word(0),appl(word(4),appl(appl(word(2),word(3)),word(1)))))
107	Les enfants en chemises rouges jouent dans les feuilles	p(0,p(0,'Les',p(0,p(0,enfants,p(0,en,chemises)),rouges)),p(1,jouent,p(0,dans,p(0,les,feuilles))))	appl(lambda(A,appl(appl(word(6),appl(word(7),word(8))),appl(word(5),A))),appl(word(0),appl(word(4),appl(appl(word(2),word(3)),word(1)))))
108	Les enfants couverts de feuilles jouent avec des chemises rouges	p(1,p(0,p(0,'Les',p(0,enfants,p(0,couverts,p(0,de,feuilles)))),jouent),p(0,avec,p(0,des,p(0,chemises,rouges))))	appl(appl(word(6),appl(word(7),appl(word(9),word(8)))),appl(word(5),appl(word(0),appl(appl(word(2),appl(word(3),word(4))),word(1)))))
110	Trois enfants sautent dans les feuilles	p(1,p(0,p(0,'Trois',enfants),sautent),p(0,dans,p(0,les,feuilles)))	appl(appl(word(3),appl(word(4),word(5))),appl(word(2),appl(word(0),word(1))))
111	Trois enfants sont assis dans les feuilles	p(0,p(0,'Trois',enfants),p(0,sont,p(0,assis,p(0,dans,p(0,les,feuilles)))))	appl(appl(word(2),appl(word(3),appl(word(4),appl(word(5),word(6))))),appl(word(0),word(1)))
